export_volume_units,units_increase,export_volume_tons,price,price_per_unit,war,manufacturer,export,observation,time-period,category_dry_cats_and_dogs,category_treats,category_wet,pet_type_cats,pet_type_dogs,price_segment_economy,price_segment_middle,price_segment_premium,package_type_can,package_type_pack,package_type_pouch,package_type_sack
2291.0,0.0,3.44,0.17,74.20340462680052,0,TOV_KORMOTECH,1,1,1,False,False,True,True,False,False,True,False,True,False,False,False
4132.0,0.8035792230467045,5.94,0.29,70.1839303000968,0,TOV_KORMOTECH,1,1,2,False,False,True,True,False,False,True,False,True,False,False,False
2386.0,-0.42255566311713455,6.04,0.29,121.54233025984911,0,TOV_KORMOTECH,1,1,3,False,False,True,True,False,False,True,False,True,False,False,False
5756.0,1.4124056999161776,9.8,0.48,83.39124391938846,0,TOV_KORMOTECH,1,1,4,False,False,True,True,False,False,True,False,True,False,False,False
4904.0,-0.1480194579569145,6.51,0.31,63.213703099510596,0,TOV_KORMOTECH,1,1,5,False,False,True,True,False,False,True,False,True,False,False,False
2871.0,-0.4145595432300163,3.61,0.16,55.7297109021247,0,TOV_KORMOTECH,1,1,6,False,False,True,True,False,False,True,False,True,False,False,False
5836.0,1.0327412051549985,8.09,0.38,65.11309115832762,0,TOV_KORMOTECH,1,1,7,False,False,True,True,False,False,True,False,True,False,False,False
13992.0,1.397532556545579,8.1,0.36,25.728987993138936,0,TOV_KORMOTECH,1,1,8,False,False,True,True,False,False,True,False,True,False,False,False
2273.0,-0.8375500285877644,1.59,0.07,30.796304443466788,0,TOV_KORMOTECH,1,1,9,False,False,True,True,False,False,True,False,True,False,False,False
5770.0,1.5384953805543335,2.77,0.12,20.797227036395146,0,TOV_KORMOTECH,1,1,10,False,False,True,True,False,False,True,False,True,False,False,False
1820.0,-0.6845753899480069,0.87,0.04,21.978021978021978,0,TOV_KORMOTECH,1,1,11,False,False,True,True,False,False,True,False,True,False,False,False
2340.0,0.2857142857142858,1.12,0.05,21.367521367521366,0,TOV_KORMOTECH,1,1,12,False,False,True,True,False,False,True,False,True,False,False,False
2500.0,0.06837606837606836,1.2,0.06,24.0,0,TOV_KORMOTECH,1,1,13,False,False,True,True,False,False,True,False,True,False,False,False
3190.0,0.276,1.53,0.07,21.9435736677116,0,TOV_KORMOTECH,1,1,14,False,False,True,True,False,False,True,False,True,False,False,False
9560.0,1.9968652037617556,4.59,0.22,23.01255230125523,1,TOV_KORMOTECH,1,1,15,False,False,True,True,False,False,True,False,True,False,False,False
1400.0,-0.8535564853556485,0.67,0.03,21.428571428571427,1,TOV_KORMOTECH,1,1,16,False,False,True,True,False,False,True,False,True,False,False,False
12970.0,8.264285714285714,6.23,0.27,20.81727062451812,1,TOV_KORMOTECH,1,1,17,False,False,True,True,False,False,True,False,True,False,False,False
9500.0,-0.2675404780262144,4.56,0.19,20.0,1,TOV_KORMOTECH,1,1,18,False,False,True,True,False,False,True,False,True,False,False,False
3050.0,-0.6789473684210526,1.46,0.07,22.95081967213115,1,TOV_KORMOTECH,1,1,19,False,False,True,True,False,False,True,False,True,False,False,False
4280.0,0.40327868852459026,2.05,0.11,25.700934579439252,1,TOV_KORMOTECH,1,1,20,False,False,True,True,False,False,True,False,True,False,False,False
9200.0,1.1495327102803738,4.42,0.21,22.82608695652174,1,TOV_KORMOTECH,1,1,21,False,False,True,True,False,False,True,False,True,False,False,False
2400.0,-0.7391304347826086,1.15,0.07,29.16666666666667,1,TOV_KORMOTECH,1,1,22,False,False,True,True,False,False,True,False,True,False,False,False
770.0,-0.6791666666666667,0.37,0.02,25.974025974025974,1,TOV_KORMOTECH,1,1,23,False,False,True,True,False,False,True,False,True,False,False,False
1000.0,0.2987012987012987,0.48,0.03,29.999999999999996,1,TOV_KORMOTECH,1,1,24,False,False,True,True,False,False,True,False,True,False,False,False
2500.0,1.5,1.2,0.07,28.000000000000004,1,TOV_KORMOTECH,1,1,25,False,False,True,True,False,False,True,False,True,False,False,False
2330.0,-0.06799999999999995,1.12,0.07,30.042918454935624,1,TOV_KORMOTECH,1,1,26,False,False,True,True,False,False,True,False,True,False,False,False
1300.0,-0.4420600858369099,0.62,0.04,30.769230769230766,1,TOV_KORMOTECH,1,1,27,False,False,True,True,False,False,True,False,True,False,False,False
2200.0,0.6923076923076923,1.06,0.08,36.36363636363637,1,TOV_KORMOTECH,1,1,28,False,False,True,True,False,False,True,False,True,False,False,False
4300.0,0.9545454545454546,2.06,0.14,32.55813953488372,1,TOV_KORMOTECH,1,1,29,False,False,True,True,False,False,True,False,True,False,False,False
6300.0,0.4651162790697674,3.02,0.2,31.746031746031743,1,TOV_KORMOTECH,1,1,30,False,False,True,True,False,False,True,False,True,False,False,False
64392.0,0.0,5.71,0.35,5.43545782084731,0,TOV_KORMOTECH,1,2,1,False,False,True,True,False,False,True,False,False,False,True,False
123816.0,0.9228475587029445,11.49,0.67,5.411255411255412,0,TOV_KORMOTECH,1,2,2,False,False,True,True,False,False,True,False,False,False,True,False
115104.0,-0.07036247334754797,10.67,0.61,5.299555184876286,0,TOV_KORMOTECH,1,2,3,False,False,True,True,False,False,True,False,False,False,True,False
208320.0,0.8098415346121768,19.61,1.13,5.424347158218126,0,TOV_KORMOTECH,1,2,4,False,False,True,True,False,False,True,False,False,False,True,False
98112.0,-0.5290322580645161,8.81,0.55,5.605838225701239,0,TOV_KORMOTECH,1,2,5,False,False,True,True,False,False,True,False,False,False,True,False
328968.0,2.3529843444227008,31.57,1.66,5.0460835096422745,0,TOV_KORMOTECH,1,2,6,False,False,True,True,False,False,True,False,False,False,True,False
150840.0,-0.5414751586780477,14.29,0.74,4.9058605144524,0,TOV_KORMOTECH,1,2,7,False,False,True,True,False,False,True,False,False,False,True,False
180528.0,0.19681782020684158,16.98,0.91,5.040769298945317,0,TOV_KORMOTECH,1,2,8,False,False,True,True,False,False,True,False,False,False,True,False
321696.0,0.7819728795533103,30.18,1.54,4.787128220431712,0,TOV_KORMOTECH,1,2,9,False,False,True,True,False,False,True,False,False,False,True,False
254664.0,-0.20837063563115488,23.12,1.35,5.301102629346904,0,TOV_KORMOTECH,1,2,10,False,False,True,True,False,False,True,False,False,False,True,False
489144.0,0.9207426255772311,45.94,2.3,4.702091817542482,0,TOV_KORMOTECH,1,2,11,False,False,True,True,False,False,True,False,False,False,True,False
426096.0,-0.12889455865757327,40.43,2.18,5.116217941496752,0,TOV_KORMOTECH,1,2,12,False,False,True,True,False,False,True,False,False,False,True,False
743544.0,0.7450152078404866,72.85,3.32,4.465102266980837,0,TOV_KORMOTECH,1,2,13,False,False,True,True,False,False,True,False,False,False,True,False
277056.0,-0.6273845259998063,25.25,1.52,5.486255486255486,0,TOV_KORMOTECH,1,2,14,False,False,True,True,False,False,True,False,False,False,True,False
275040.0,-0.007276507276507305,24.99,1.43,5.199243746364165,1,TOV_KORMOTECH,1,2,15,False,False,True,True,False,False,True,False,False,False,True,False
318264.0,0.1571553228621292,29.62,1.84,5.781363899152905,1,TOV_KORMOTECH,1,2,16,False,False,True,True,False,False,True,False,False,False,True,False
205320.0,-0.3548751979488727,19.04,1.06,5.162672900837717,1,TOV_KORMOTECH,1,2,17,False,False,True,True,False,False,True,False,False,False,True,False
303888.0,0.48007013442431323,28.37,1.65,5.429631969673037,1,TOV_KORMOTECH,1,2,18,False,False,True,True,False,False,True,False,False,False,True,False
184440.0,-0.39306586637182117,17.21,0.99,5.367599219258295,1,TOV_KORMOTECH,1,2,19,False,False,True,True,False,False,True,False,False,False,True,False
379752.0,1.0589459986987637,34.51,2.59,6.820240578061472,1,TOV_KORMOTECH,1,2,20,False,False,True,True,False,False,True,False,False,False,True,False
751560.0,0.9790810844972508,65.77,5.04,6.706051413060834,1,TOV_KORMOTECH,1,2,21,False,False,True,True,False,False,True,False,False,False,True,False
387936.0,-0.48382564266326045,35.19,2.45,6.315474717479172,1,TOV_KORMOTECH,1,2,22,False,False,True,True,False,False,True,False,False,False,True,False
292944.0,-0.24486513239297203,26.38,1.88,6.4176088262603095,1,TOV_KORMOTECH,1,2,23,False,False,True,True,False,False,True,False,False,False,True,False
