category,manufacturer/importer,brand,pet_type,price_segment,package_type,export,january_2021_units,february_2021_units,march_2021_units,april_2021_units,may_2021_units,june_2021_units,july_2021_units,august_2021_units,september_2021_units,october_2021_units,november_2021_units,december_2021_units,january_2022_units,february_2022_units,march_2022_units,april_2022_units,may_2022_units,june_2022_units,july_2022_units,august_2022_units,september_2022_units,october_2022_units,november_2022_units,december_2022_units,january_2023_units,february_2023_units,march_2023_units,april_2023_units,may_2023_units,june_2023_units,january_2021_tons,february_2021_tons,march_2021_tons,april_2021_tons,may_2021_tons,june_2021_tons,july_2021_tons,august_2021_tons,september_2021_tons,october_2021_tons,november_2021_tons,december_2021_tons,january_2022_tons,february_2022_tons,march_2022_tons,april_2022_tons,may_2022_tons,june_2022_tons,july_2022_tons,august_2022_tons,september_2022_tons,october_2022_tons,november_2022_tons,december_2022_tons,january_2023_tons,february_2023_tons,march_2023_tons,april_2023_tons,may_2023_tons,june_2023_tons,january_2021_mil_uah,february_2021_mil_uah,march_2021_mil_uah,april_2021_mil_uah,may_2021_mil_uah,june_2021_mil_uah,july_2021_mil_uah,august_2021_mil_uah,september_2021_mil_uah,october_2021_mil_uah,november_2021_mil_uah,december_2021_mil_uah,january_2022_mil_uah,february_2022_mil_uah,march_2022_mil_uah,april_2022_mil_uah,may_2022_mil_uah,june_2022_mil_uah,july_2022_mil_uah,august_2022_mil_uah,september_2022_mil_uah,october_2022_mil_uah,november_2022_mil_uah,december_2022_mil_uah,january_2023_mil_uah,february_2023_mil_uah,march_2023_mil_uah,april_2023_mil_uah,may_2023_mil_uah,june_2023_mil_uah
wet,TOV_KORMOTECH,CLUB_4_PAWS,cats,middle,can,1,2 291.00,4 132.00,2 386.00,5 756.00,4 904.00,2 871.00,5 836.00,13 992.00,2 273.00,5 770.00,1 820.00,2 340.00,2 500.00,3 190.00,9 560.00,1 400.00,12 970.00,9 500.00,3 050.00,4 280.00,9 200.00,2 400.00,770,1 000.00,2 500.00,2 330.00,1 300.00,2 200.00,4 300.00,6 300.00,3.44,5.94,6.04,9.8,6.51,3.61,8.09,8.1,1.59,2.77,0.87,1.12,1.2,1.53,4.59,0.67,6.23,4.56,1.46,2.05,4.42,1.15,0.37,0.48,1.2,1.12,0.62,1.06,2.06,3.02,0.17,0.29,0.29,0.48,0.31,0.16,0.38,0.36,0.07,0.12,0.04,0.05,0.06,0.07,0.22,0.03,0.27,0.19,0.07,0.11,0.21,0.07,0.02,0.03,0.07,0.07,0.04,0.08,0.14,0.2
wet,TOV_KORMOTECH,CLUB_4_PAWS,cats,middle,can,0,67 295.00,72 150.00,204 350.00,230 490.00,115 784.00,251 253.00,149 031.00,117 990.00,110 754.00,117 126.00,155 673.00,100 881.00,124 317.00,82 962.00,37 224.00,17 280.00,,3 357.00,,,,,,,,,,,,,40.37,43.28,122.59,138.29,71.08,150.75,89.42,70.79,66.45,70.28,93.4,60.53,74.59,49.78,22.33,10.37,,2.01,,,,,,,,,,,,,3.24,3.47,8.5,9.82,5.07,10.68,7.48,6.25,5.87,6.47,8.59,5.65,7.56,5.05,2.27,0.87,,0.16,,,,,,,,,,,,
wet,TOV_KORMOTECH,CLUB_4_PAWS,cats,middle,pouch,1,64 392.00,123 816.00,115 104.00,208 320.00,98 112.00,328 968.00,150 840.00,180 528.00,321 696.00,254 664.00,489 144.00,426 096.00,743 544.00,277 056.00,275 040.00,318 264.00,205 320.00,303 888.00,184 440.00,379 752.00,751 560.00,387 936.00,292 944.00,194 040.00,193 008.00,548 640.00,331 464.00,475 848.00,636 432.00,362 112.00,5.71,11.49,10.67,19.61,8.81,31.57,14.29,16.98,30.18,23.12,45.94,40.43,72.85,25.25,24.99,29.62,19.04,28.37,17.21,34.51,65.77,35.19,26.38,17.4,18.21,52.04,31.09,45.08,56.43,31.79,0.35,0.67,0.61,1.13,0.55,1.66,0.74,0.91,1.54,1.35,2.3,2.18,3.32,1.52,1.43,1.84,1.06,1.65,0.99,2.59,5.04,2.45,1.88,1.26,1.3,3.79,2.34,3.6,4.63,2.53
wet,TOV_KORMOTECH,CLUB_4_PAWS,cats,middle,pouch,0,2 078 129.00,2 368 494.00,2 758 730.00,2 491 802.00,3 016 509.00,3 010 239.00,3 343 694.00,2 494 432.00,2 643 733.00,3 211 769.00,3 167 718.00,3 235 539.00,3 121 658.00,2 325 027.00,2 913 505.00,2 779 478.59,4 557 840.41,5 085 815.59,6 288 233.00,5 179 384.00,4 299 734.00,5 938 956.00,5 468 264.00,5 854 064.00,5 109 844.00,5 742 029.73,5 798 542.27,5 209 036.00,5 759 377.00,5 064 834.00,199.41,225.97,265.81,239.9,287.21,290.24,318.31,237.72,250.37,306.09,302.65,310.38,299.56,222.13,281.66,266,436.29,487.99,604.35,498.82,404.22,557.59,530.45,564.71,491.03,551.77,546.84,491.44,540.29,477.55,15.93,18.76,21.12,18.58,23.39,22.59,27.23,21.13,22.19,28.36,26.92,28.2,27.72,20.77,27.01,29.38,48.71,52.91,65.81,59.44,48.14,72.78,63.56,71.26,62.5,72.53,78.63,71.93,81.09,73.25
wet,TOV_KORMOTECH,CLUB_4_PAWS,dogs,middle,can,1,1 079.00,3 413.00,912,3 344.00,2 866.00,806,1 199.00,13 800.00,1 439.00,2 280.00,2 400.00,378,1 400.00,1 040.00,9 790.00,1 300.00,1 480.00,2 250.00,650,2 880.00,5 690.00,4 045.00,1 200.00,2 520.00,1 550.00,2 634.00,2 810.00,3 228.00,3 974.00,3 996.00,0.86,2.18,0.92,2.92,1.77,0.59,1.59,7.01,0.73,1.09,1.15,0.27,0.67,0.5,4.7,0.62,0.71,1.08,0.31,1.38,2.73,2.03,0.58,1.21,0.74,1.25,1.35,1.53,1.91,1.91,0.04,0.12,0.05,0.15,0.1,0.03,0.08,0.34,0.03,0.05,0.06,0.01,0.03,0.02,0.24,0.04,0.04,0.05,0.02,0.09,0.14,0.12,0.04,0.07,0.05,0.09,0.08,0.11,0.13,0.12
wet,TOV_KORMOTECH,CLUB_4_PAWS,dogs,middle,can,0,28 683.00,19 935.00,19 215.00,14 715.00,26 127.00,22 113.00,28 260.00,24 462.00,56 196.00,6 102.00,30 024.00,31 923.00,39 051.00,36 144.00,24 255.00,,,1 332.00,,,17 240.00,1 392.00,2 220.00,2 831.00,1 776.00,684,4 656.00,1 896.00,1 920.00,3 048.00,17.21,11.96,11.53,8.83,15.68,13.27,16.96,14.68,33.72,3.66,18.01,19.15,23.43,21.69,14.55,,,0.8,,,6.9,0.56,0.89,1.13,0.71,0.27,1.86,0.76,0.77,1.22,1.38,0.96,0.8,0.71,1.11,0.91,1.33,1.19,2.74,0.34,1.83,1.94,2.38,2.2,1.52,,,0.07,,,1.06,0.09,0.15,0.21,0.12,0.05,0.25,0.12,0.11,0.18
wet,TOV_KORMOTECH,CLUB_4_PAWS,dogs,middle,pouch,1,23 064.00,20 472.00,34 200.00,46 008.00,26 880.00,44 424.00,47 904.00,45 408.00,28 848.00,41 616.00,58 416.00,66 600.00,32 880.00,65 952.00,42 264.00,99 072.00,29 880.00,32 016.00,40 464.00,122 856.00,214 920.00,83 424.00,42 984.00,55 824.00,51 096.00,123 552.00,90 888.00,85 080.00,139 980.00,72 960.00,2.29,2.01,3.39,4.49,2.63,4.38,4.74,4.52,2.82,4.13,5.71,6.59,3.27,6.52,4.12,9.87,2.91,3.18,3.93,12.05,20.69,8.25,4.2,5.5,5.02,12.32,9.09,8.51,14,7.3,0.13,0.12,0.21,0.28,0.16,0.28,0.29,0.26,0.17,0.24,0.34,0.38,0.19,0.39,0.25,0.63,0.17,0.17,0.25,0.84,1.52,0.58,0.3,0.39,0.37,0.92,0.72,0.63,1.08,0.51
wet,TOV_KORMOTECH,CLUB_4_PAWS,dogs,middle,pouch,0,303 288.00,288 024.00,394 728.00,374 352.00,400 446.00,392 191.00,503 304.00,550 609.00,508 628.00,637 428.00,601 210.00,561 942.00,538 884.00,391 451.00,486 581.00,510 237.00,819 006.00,871 215.00,1 108 638.00,1 036 782.00,999 144.00,976 272.00,1 122 462.00,799 629.00,942 574.00,1 089 216.00,998 319.00,1 005 576.00,1 125 300.00,1 184 976.00,30.22,28.69,39.36,37.3,39.85,39.06,50.09,54.67,50.53,63.49,59.92,56.01,53.61,38.93,48.45,50.75,81.26,86.59,108.49,102.78,97.36,96.76,111.25,78.98,93.46,107.98,98.93,99.52,111.71,117.28,2.79,2.72,3.58,3.5,3.75,3.61,4.69,5.09,4.73,5.98,5.43,5.28,5.04,3.6,4.76,5.29,9.19,9.28,12.12,11.82,11,11.32,12.8,9.67,11.43,13.83,13.52,13.84,15.79,17.09
wet,TOV_KORMOTECH,OPTIMEAL,cats,premium,can,1,2 376.00,6 584.00,6 958.00,7 160.00,2 936.00,4 970.00,13 903.00,3 268.00,10 671.00,143,120,370,12,2 516.00,2 460.00,15 092.00,16 252.00,1 104.00,2 432.00,2 176.00,5 770.00,1 000.00,2 408.00,5 200.00,16 702.00,3 242.00,11 236.00,792,8 200.00,16 224.00,1.93,4.73,5.11,5.59,2.64,4.1,7.7,2.74,3.95,0.19,0.04,0.39,0.05,2.54,0.97,5.13,5.82,0.52,0.84,1.03,2.43,0.37,0.88,1.9,5.68,1.4,3.95,0.43,3.3,5.68,0.21,0.6,0.58,0.59,0.3,0.43,0.56,0.27,0.35,0.02,0,0.04,0.01,0.26,0.1,0.63,0.71,0.06,0.08,0.12,0.26,0.04,0.1,0.22,0.85,0.17,0.55,0.06,0.33,0.7
wet,TOV_KORMOTECH,OPTIMEAL,cats,premium,can,0,54 417.00,44 107.00,56 812.00,60 865.00,40 861.00,32 472.00,3 878.00,4 352.00,32 536.00,39 638.00,59 072.00,24 176.00,1 544.00,1 040.00,13 264.00,5 024.00,11 848.00,70 136.00,65 460.00,41 752.00,59 186.00,50 655.00,57 920.00,69 312.00,65 320.00,85 088.00,96 448.00,97 184.00,108 824.00,96 087.00,18.5,15,19.32,20.69,14.17,11.27,1.32,1.48,11.06,13.48,20.08,8.22,0.52,0.35,4.51,1.71,4.03,23.85,22.26,14.2,19.47,17.22,19.69,23.57,22.21,28.93,32.79,33.04,37,32.67,2.79,2.27,2.88,3.1,2.05,1.67,0.2,0.21,1.84,2.14,3.24,1.34,0.1,0.06,0.79,0.33,0.67,4.45,3.95,2.75,4.01,3.39,3.87,4.71,4.39,5.71,6.5,6.52,7.6,6.97
